"id","factura_id","fecha","monto","metodo","nota","created_at"
4,22,"2025-08-14",500000,"Efectivo","Neki","2025-08-20T20:25:12.007761+00:00"
5,17,"2025-08-20",1500000,"Efectivo",,"2025-08-20T20:45:33.142228+00:00"
6,27,"2025-08-21",6250,"Efectivo","DESCUENTO FALTAN 2 MAUINAS","2025-08-21T01:00:07.201577+00:00"
7,39,"2025-08-20",524000,"Transferencia","neki","2025-08-21T17:08:35.917925+00:00"
9,44,"2025-08-06",250000,"Efectivo",,"2025-08-21T17:18:37.733405+00:00"
10,46,"2025-07-21",504000,"Efectivo",,"2025-08-21T17:28:58.126674+00:00"
11,47,"2025-08-12",858000,"Efectivo",,"2025-08-21T17:33:03.323386+00:00"
12,48,"2025-08-14",250000,"Efectivo",,"2025-08-22T13:28:41.332955+00:00"
13,78,"2025-08-21",200000,"Efectivo","NEKI","2025-08-22T15:33:24.58757+00:00"
14,91,"2025-08-14",300000,"Efectivo",,"2025-08-22T21:29:10.016186+00:00"
15,91,"2025-08-20",450000,"Efectivo",,"2025-08-22T21:29:36.23921+00:00"
16,91,"2025-08-22",210000,"Efectivo",,"2025-08-22T21:29:46.212542+00:00"
17,44,"2025-08-22",506000,"Efectivo",,"2025-08-22T21:49:40.833684+00:00"
19,99,"2025-06-25",200000,"Efectivo",,"2025-08-23T12:53:45.305937+00:00"
20,99,"2025-06-14",200000,"Efectivo",,"2025-08-23T12:54:31.574894+00:00"
21,112,"2025-08-06",2600000,"Efectivo",,"2025-08-23T13:30:27.899198+00:00"
22,123,"2025-08-18",164000,"Efectivo",,"2025-08-23T13:56:36.477387+00:00"
23,126,"2025-08-04",400000,"Efectivo",,"2025-08-23T14:02:19.147478+00:00"
24,129,"2025-05-26",400000,"Efectivo",,"2025-08-23T14:06:52.085088+00:00"
25,129,"2025-08-11",399999.76,"Efectivo",,"2025-08-23T14:07:09.99177+00:00"
26,131,"2025-05-04",500000,"Efectivo",,"2025-08-23T14:13:27.907557+00:00"
30,138,"2025-06-23",1900000,"Efectivo",,"2025-08-23T14:25:27.08234+00:00"
31,141,"2025-02-25",900000,"Efectivo",,"2025-08-23T14:30:02.419912+00:00"
32,141,"2025-07-23",400000,"Efectivo",,"2025-08-23T14:30:15.167591+00:00"
33,145,"2025-08-21",500000,"Efectivo",,"2025-08-23T14:34:19.878424+00:00"
34,58,"2025-08-23",120000,"Efectivo",,"2025-08-23T14:54:44.607701+00:00"
35,146,"2025-08-22",200000,"Efectivo",,"2025-08-23T14:57:45.608977+00:00"
36,147,"2025-08-23",1000000,"Efectivo",,"2025-08-23T15:00:41.894349+00:00"
37,44,"2025-08-20",900000,"Efectivo",,"2025-08-23T15:34:04.503399+00:00"
38,65,"2025-08-19",349000,"Efectivo",,"2025-08-23T15:49:38.857492+00:00"
39,86,"2025-08-22",200000,"Efectivo",,"2025-08-23T15:53:14.528184+00:00"
40,153,"2025-07-12",500000,"Efectivo",,"2025-08-23T16:00:59.707868+00:00"
