"id","codigo","nombre","precio","categoria","stock","descripcion","activo","imagen_url","imagen_public_id","created_at","updated_at"
33,,"TIO NACHO CONTROL CASPA 415",23000,"Cuidado del Cabello",312,"CAJA X 12",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219718/fpsedkkxnehrkimrwflr.png","fpsedkkxnehrkimrwflr","2025-08-20T17:04:58.559676+00:00","2025-08-20T17:04:58.559676+00:00"
47,,"MEXSANA TALCO 300+85G X15",19000,"Desodorantes",0,"Paca x 15 285000",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756217481/tabzqqlu2a3d4fhx8hxi.png","tabzqqlu2a3d4fhx8hxi","2025-08-20T17:14:18.657779+00:00","2025-08-20T17:14:18.657779+00:00"
3,,"TOALLAS NOSOTRAS RAPIGEL X 30",11000,"Toallas",1134,"tallas nosotras rapigel x 30 caja x 8",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219671/bh1kzufjjpk7wrzfxbxb.png","bh1kzufjjpk7wrzfxbxb","2025-08-15T12:38:40.351342+00:00","2025-08-15T12:38:40.351342+00:00"
41,,"PONDS REGUBENETS",21000,"Bloqueadores y Cuidado de la Piel",610,,true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218397/gpilem8xt82qrjusf0aw.png","gpilem8xt82qrjusf0aw","2025-08-20T17:10:21.331105+00:00","2025-08-20T17:10:21.331105+00:00"
45,,"PROTEX BALANCE JABON BARRA X72...",180000,"Jabones y Geles",0,"PACA X72",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218454/tcw0v8jhuzwopuroznph.png","tcw0v8jhuzwopuroznph","2025-08-20T17:13:53.760443+00:00","2025-08-20T17:13:53.760443+00:00"
19,,"SUNDOWN 70 DISPLAY X12X8ML",34000,"Bloqueadores y Cuidado de la Piel",0,"CAJA X 24",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219179/h6p6wqzzfapeuyhsewkh.png","h6p6wqzzfapeuyhsewkh","2025-08-20T16:58:31.882431+00:00","2025-08-20T16:58:31.882431+00:00"
16,,"JOHNSONS BABY 200 ML",10000,"Cuidado del Cabello",9,"CAJA  X 12",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756217345/it8wdfqj70pbaqosdcjn.png","it8wdfqj70pbaqosdcjn","2025-08-20T16:57:22.537461+00:00","2025-08-20T16:57:22.537461+00:00"
7,,"REXONA POWER BRY",8000,"Desodorantes",0,,false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218911/iwtiyuwvvpq4yce6fudt.png","iwtiyuwvvpq4yce6fudt","2025-08-15T15:23:18.716089+00:00","2025-08-15T15:23:18.716089+00:00"
28,,"SHAMPOO MULTIOLEOS Y SABILA",12500,"Cuidado del Cabello",0,"Paca x 24 300000",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219058/ekzdrttuqlc55rdtcicg.png","ekzdrttuqlc55rdtcicg","2025-08-20T17:02:59.847684+00:00","2025-08-20T17:02:59.847684+00:00"
24,,"HUGGIES ACTIVE SECO ETAPA 0 X 25 PANALES",11000,"Pañales",0,,false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756216913/bsaf3mbmi4wjijo6ahic.png","bsaf3mbmi4wjijo6ahic","2025-08-20T17:01:13.259721+00:00","2025-08-20T17:01:13.259721+00:00"
