"id","codigo","nombre","precio","categoria","stock","descripcion","activo","imagen_url","imagen_public_id","created_at","updated_at"
37,,"REIMIGTON PLANCHA PARA EL CABELLO",0,"Otros",0,,true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218626/hifveej3zsknbsvxdjq2.png","hifveej3zsknbsvxdjq2","2025-08-20T17:07:19.541951+00:00","2025-08-20T17:07:19.541951+00:00"
19,,"SUNDOWN 70 DISPLAY X12X8ML",34000,"Bloqueadores y Cuidado de la Piel",0,"CAJA X 24",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219179/h6p6wqzzfapeuyhsewkh.png","h6p6wqzzfapeuyhsewkh","2025-08-20T16:58:31.882431+00:00","2025-08-20T16:58:31.882431+00:00"
33,,"TIO NACHO CONTROL CASPA 415",23000,"Cuidado del Cabello",0,"CAJA X 12",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219718/fpsedkkxnehrkimrwflr.png","fpsedkkxnehrkimrwflr","2025-08-20T17:04:58.559676+00:00","2025-08-20T17:04:58.559676+00:00"
44,,"GILLETTE PRESTOBARBAS 10X12X120",375000,"Bloqueadores y Cuidado de la Piel",0,"Paca x 12 x 10 375000",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219847/sjzxxh8vriacvdljpwqt.png","sjzxxh8vriacvdljpwqt","2025-08-20T17:13:14.591586+00:00","2025-08-20T17:13:14.591586+00:00"
32,,"HUGGIES ETAPA 5 X 50",52000,"Pañales",0,"PACA X 8 =  416000",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756217020/pxchf8txdarf63tov6qm.png","pxchf8txdarf63tov6qm","2025-08-20T17:04:28.1772+00:00","2025-08-20T17:04:28.1772+00:00"
48,,"HUGGIES ETP 1X25 BLT X6PK",13000,"Pañales",0,"paca x 6 78000",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756217100/lh1apms1dacbfqe1tmaq.png","lh1apms1dacbfqe1tmaq","2025-08-20T17:14:54.619229+00:00","2025-08-20T17:14:54.619229+00:00"
47,,"MEXSANA TALCO 300+85G X15",19000,"Desodorantes",0,"Paca x 15 285000",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756217481/tabzqqlu2a3d4fhx8hxi.png","tabzqqlu2a3d4fhx8hxi","2025-08-20T17:14:18.657779+00:00","2025-08-20T17:14:18.657779+00:00"
28,,"SHAMPOO MULTIOLEOS Y SABILA",12500,"Cuidado del Cabello",0,"Paca x 24 300000",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219058/ekzdrttuqlc55rdtcicg.png","ekzdrttuqlc55rdtcicg","2025-08-20T17:02:59.847684+00:00","2025-08-20T17:02:59.847684+00:00"
49,,"TIO NACHITO SH 12X400ML",23000,"Cuidado del Cabello",0,"CAJA X 12",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219757/yqperh5y5oyxdr47l2ze.png","yqperh5y5oyxdr47l2ze","2025-08-20T17:15:25.961831+00:00","2025-08-20T17:15:25.961831+00:00"
27,,"CREMA DE PEINAR CON MULTIVITAMINAS Y S4...",12500,"Cuidado del Cabello",0,"CAJA X 24 300000",true,,,"2025-08-20T17:02:40.390474+00:00","2025-08-20T17:02:40.390474+00:00"
